Startup Name,Startup URL,Logo URL,Location
Tookitaki,http://www.tookitaki.com,http://blume.vc/wp-content/uploads/2016/05/tookitaki.png,
,,,
TRICOG,http://tricog.com/,http://blume.vc/wp-content/uploads/2016/08/tricog.jpg,
,,,
Tripvillas,http://www.tripvillas.com,http://blume.vc/wp-content/uploads/2016/05/Logos-06.png,
,,,
Turtlemint,http://www.turtlemint.com,http://blume.vc/wp-content/uploads/2016/05/Logos-03.png,
,,,
Unacademy,https://unacademy.com/,http://blume.vc/wp-content/uploads/2016/05/Unacademy1.jpg,
,,,
Unocoin,https://www.unocoin.com/,http://blume.vc/wp-content/uploads/2016/10/Unocoin.png,
,,,
Venturesity,http://www.venturesity.com/,http://blume.vc/wp-content/uploads/2017/02/Untitled-design-11.png,
,,,
Webengage,http://www.webengage.com,http://blume.vc/wp-content/uploads/2016/05/webengage.png,
,,,
Zenatix,http://www.zenatix.com,http://blume.vc/wp-content/uploads/2016/05/Logos-10.png,
,,,
Zopper,http://www.zopper.com,http://blume.vc/wp-content/uploads/2016/05/zopper-1.png,
