Startup Name,Startup URL,Twitter URL,LinkedIn URL,Logo URL,Description,Founding Year,Invested Year
Freecharge,https://www.freecharge.in/,https://twitter.com/freecharge,,https://d33wubrfki0l68.cloudfront.net/0dac95e462ced43c64e0c3b0c71658385b13775c/9d270/img/c/freecharge_w65_h65.png,"Freecharge (acquired by Snapdeal) offers the simplest and fastest online recharge for prepaid mobile, postpaid bills, data card and DTH.",2008,2008
Freshdesk,https://freshdesk.com/,https://twitter.com/freshdesk,https://www.linkedin.com/company-beta/1377014/,https://d33wubrfki0l68.cloudfront.net/2e4ab943906c2272c8d1130effc495645500d1ce/57654/img/c/freshdesk-logo_w65_h65.jpg,Freshdesk Inc. is a leading provider of cloud-based customer engagement software.,2010,2010
Genesis Colors,http://www.genesiscolors.com/,,https://in.linkedin.com/company/genesis-colors-pvt-ltd,https://d33wubrfki0l68.cloudfront.net/eefaf5ab920458b22052ec3f27fc3a97fc93c9a7/e5b94/img/c/genesis-colors-website_w65_h65.png,"Genesis Colors owns premium Indian fashion labels such as Satya Paul, Samsaara and Bw!tch and has the marketing and distribution rights for several internationally renowned luxury brands in India such as Bottega Veneta, Jimmy Choo, Canali, Paul Smith, Tumi, Armani, TAG Heuer and Etro.",1998,1998
Glocal,http://ghspl.com/,,https://www.linkedin.com/company/glocal-healthcare-systems,https://d33wubrfki0l68.cloudfront.net/305d8ee0e4d2eda6420e6f74712cc98681858c54/5e909/img/c/glocal_w65_h65.png,Glocal is creating a network of affordable rural hospitals.,2010,2010
Gojek,http://www.go-jek.com/,https://twitter.com/gojekindonesia,https://www.linkedin.com/pub/gojek-indonesia/bb/93/a68?trk=pub-pbmap,https://d33wubrfki0l68.cloudfront.net/d5b1435482ddd04a6c6c05568127a8d3e0c7b77d/e9561/img/c/gojek-logo_w65_h65.jpg,"The fastest courier, transport, food delivery and shopping services provider in Indonesia.",2011,2011
Grofers,http://grofers.com/,https://twitter.com/Grofers,https://in.linkedin.com/company/onenumber,https://d33wubrfki0l68.cloudfront.net/a8fd921a6e75692e1784afdba7916918b17dbd2b/24007/img/c/grofers_w65_h65.png,Grofers is an on-demand delivery service that connects consumers with local merchants in the neighbourhood.,2013,2013
HealthKart,http://www.healthkart.com/,https://twitter.com/healthkart,https://in.linkedin.com/company/healthkart,https://d33wubrfki0l68.cloudfront.net/cee11aaa23d9b1655a26e750a885da9c3c25bbd5/ae8b2/img/c/healthkart-new_w65_h65.jpg,"HealthKart is India's largest online nutrition and fitness destination, which offers products, services and expert assistance to fitness enthusiasts. The company also owns leading nutrition brands, including MuscleBlaze, Incredio and HealthViva.",2011,2011
HomeLane,https://www.homelane.com/,https://twitter.com/homelanedecors,https://www.linkedin.com/company/homelane,https://d33wubrfki0l68.cloudfront.net/fc97cc9cd27d38e59641c0b29553a28a86bd42a5/f1b9e/img/c/homelane_w65_h65.jpg,HomeLane is an online provider of modular home furnishing solutions.,2014,2014
Ideacts Innovations,http://www.ideacts.com/,,https://in.linkedin.com/company/ideacts-innovations-pvt.-ltd,https://d33wubrfki0l68.cloudfront.net/161f5a83e5638147115a3cd4245dcdef2b5bbcfd/b6827/img/c/ideacts-innovations-logo-for-webstie_w65_h65.png,Ideacts Innovations provides a new age national media platform in the internet space.,2007,2007
India Shelter Finance,http://indiashelter.in/,,https://in.linkedin.com/company/india-shelter-finance-corporation-ltd-inshefco-,https://d33wubrfki0l68.cloudfront.net/ee1c75ec7cecb3a35a40c0f2f04167b2ffd53d97/8e186/img/c/isfc_w65_h65.png,India Shelter Finance is a housing finance company providing loans to financially excluded families.,1998,1998
Infoedge,http://infoedge.in/,,https://www.linkedin.com/company/info-edge-india-ltd,https://d33wubrfki0l68.cloudfront.net/7f3ea08a4aa638b6d923d81cd242565f29831684/b82ff/img/c/10-infoedge-logo-webstie_w65_h65.jpg,Infoedge is a premier online classifieds company.,1995,1995
Ixigo,https://www.ixigo.com/,https://twitter.com/ixigo,https://www.linkedin.com/company-beta/206141/,https://d33wubrfki0l68.cloudfront.net/77c0849d2e5337da1406201a53812535bd168be0/66769/img/c/ixigo-new-logo_w65_h65.jpg,"Ixigo is a travel search app that aggregates and compares real-time travel related information, prices and availability.",2006,2006
